Input Data,Output Data,Priority Number
36,23,2
99,10,3
1,82,4
78,65,1
99,69,2
28,26,4
99,6,3
4,31,3
41,20,2
77,76,1
64,87,3
95,49,5
17,51,2
67,67,5
93,10,5
79,43,2
86,51,1
54,29,2
51,7,4
48,62,4
92,95,3
79,69,1
53,12,3
40,49,3
18,24,1
23,29,5
89,57,3
37,68,3
54,1,5
36,90,5
18,35,3
73,87,4
15,43,3
50,44,2
22,78,5
57,70,2
81,1,4
73,15,4
67,60,5
52,25,4
70,34,5
6,53,3
27,32,1
75,91,2
26,42,3
3,88,2
65,26,4
80,79,3
66,7,2
79,84,1
53,19,2
22,1,2
5,79,3
76,93,4
62,14,4
87,64,4
58,11,4
92,41,3
3,39,4
75,63,4
75,90,1
1,83,3
48,4,1
65,15,1
49,58,4
89,66,4
20,83,2
45,30,3
93,83,2
37,70,3
13,21,5
46,68,4
26,14,3
15,18,5
83,3,4
58,43,3
14,69,5
77,25,4
47,69,4
2,61,3
61,76,5
30,5,3
7,27,3
3,63,1
81,70,2
66,57,2
19,26,5
50,56,5
1,80,4
62,16,2
100,41,1
83,42,2
99,46,2
96,68,2
95,12,1
98,43,1
6,2,2
76,44,3
19,37,3
22,61,3
48,49,5
13,15,1
17,84,3
42,46,5
55,45,3
5,52,3
10,86,1
20,27,5
6,75,1
41,11,2
2,13,3
20,79,3
37,22,2
43,32,3
9,22,2
83,9,4
41,75,5
14,82,2
60,30,2
30,64,3
83,98,4
51,61,1
67,42,4
11,9,1
49,46,1
94,23,5
13,41,5
77,2,1
54,41,2
10,57,1
44,29,4
75,29,2
65,25,1
18,95,3
49,5,2
79,74,3
66,95,4
16,85,4
9,7,5
17,10,1
25,67,5
86,73,4
32,30,5
34,67,5
91,33,2
16,33,3
17,84,4
25,12,2
55,4,5
55,58,2
3,91,4
70,74,1
24,36,5
59,9,2
53,29,5
92,49,3
95,1,2
7,97,2
37,96,3
47,88,2
73,86,4
61,21,1
18,48,2
57,79,1
31,93,4
51,6,4
36,67,1
1,62,2
35,12,2
63,6,4
54,12,2
65,84,5
51,39,3
93,40,5
68,92,2
10,93,5
24,79,4
10,99,4
32,22,4
10,79,2
32,16,3
13,66,1
52,32,2
9,97,2
47,53,4
100,81,3
16,29,4
66,85,2
3,90,5
7,39,5
69,64,4
60,74,5
46,87,3
68,1,5
98,5,5
9,55,2
72,47,3
11,25,2
99,40,2
60,57,4
99,20,3
27,94,4
45,55,4
76,67,3
68,43,3
54,68,2
67,98,5
68,38,1
40,71,1
17,73,2
24,39,4
65,28,4
31,15,4
42,42,1
16,1,5
10,42,3
69,45,1
100,40,2
27,2,2
73,34,4
56,20,3
46,59,4
63,28,4
54,27,2
39,94,3
11,27,2
99,45,5
83,6,1
99,90,4
39,74,4
78,58,1
84,31,1
22,54,2
39,23,3
62,70,2
84,82,2
47,61,1
42,2,2
11,4,5
53,76,5
21,1,2
64,51,2
16,37,2
75,15,5
43,72,2
79,44,2
2,42,1
96,50,5
54,90,3
95,42,3
57,85,1
3,10,2
54,46,5
92,27,1
